[16:0],[16:1],[16:2],[16:3],[16:4],[16:5],[16:6],[2:99],[2:102],[2:105],[2:108],[2:111],[2:114],[2:117],[11:1],[11:3],[11:5],[11:7],[11:9],[11:11],[0:81]
F1_GAP,F2_GAP,F3_GAP,F4_GAP,F5_GAP,F6_GAP,F7_GAP,F1_SUM_FORCE,F2_SUM_FORCE,F3_SUM_FORCE,F4_SUM_FORCE,F5_SUM_FORCE,F6_SUM_FORCE,F7_SUM_FORCE,F2_BD_FBK,F3_BD_FBK,F4_BD_FBK,F5_BD_FBK,F6_BD_FBK,F7_BD_FBK,H_REAL
26697.5,15025,9593.5,6395.5,4331.5,3557,2971.5,14220.7,16312.5,15121.6,13816.4,13203.4,11610.4,8949.46,2010.72,3916.71,4006.12,5847.88,5399.22,2559.27,2.69939
26697.5,15025,9593.5,6395.5,4331.5,3557,2971.5,14220.7,16312.5,15121.6,13816.4,13203.4,11610.4,8949.46,2012.19,3914.78,4013.97,5843.94,5404.62,2572.77,2.69939
26696.8,15024,9593.15,6397.95,4333.95,3557.35,2970.1,14220.7,16312.5,15121.6,13816.4,13203.4,11610.4,8949.46,2007.04,3910.8,4009.55,5849.38,5404.62,2569.82,2.69939
26696.5,15023.5,9593,6399,4335,3557.5,2969.5,14227.3,16330.1,15123.8,13805.4,13306.6,11584,8960.45,2006.79,3907.49,4012.5,5854.51,5411.49,2583.32,2.69863
26696.5,15023.5,9593,6399,4335,3557.5,2969.5,14227.3,16330.1,15123.8,13805.4,13306.6,11584,8960.45,2005.07,3903.17,4007.1,5846.03,5409.53,2595.35,2.69863
26696.5,15023.5,9593,6399,4335,3557.5,2969.5,14227.3,16330.1,15123.8,13805.4,13306.6,11584,8960.45,2005.81,3898.95,4007.59,5840.72,5407.07,2600.99,2.69863
26696.5,15023.5,9593,6399,4335,3557.5,2969.5,14227.3,16330.1,15123.8,13805.4,13306.6,11584,8960.45,2002.86,3894.99,4012.5,5854.86,5401.67,2600.75,2.69863
26698.3,15021.8,9595.8,6400.05,4333.25,3557.5,2969.15,14227.3,16330.1,15123.8,13805.4,13306.6,11584,8960.45,2001.39,3893.07,4012.99,5859.08,5403.15,2597.07,2.69863
26699,15021,9597,6400.5,4332.5,3557.5,2969,14209.7,16343.3,15141.4,13860.4,13291.3,11682.9,8967.04,2000.41,3889.57,4009.06,5852.89,5395.78,2597.07,2.69892
26699,15021,9597,6400.5,4332.5,3557.5,2969,14209.7,16343.3,15141.4,13860.4,13291.3,11682.9,8967.04,1997.95,3883.88,4015.45,5852.68,5389.4,2604.92,2.69892
26699,15021,9597,6400.5,4332.5,3557.5,2969,14209.7,16343.3,15141.4,13860.4,13291.3,11682.9,8967.04,1991.57,3881.32,4016.43,5864.62,5386.95,2608.36,2.69892
26699,15021,9597,6400.5,4332.5,3557.5,2969,14209.7,16343.3,15141.4,13860.4,13291.3,11682.9,8967.04,1994.03,3881.18,4018.88,5871.67,5394.06,2612.53,2.69892
26697.9,15021,9595.6,6395.25,4330.4,3556.1,2969.7,14209.7,16343.3,15141.4,13860.4,13291.3,11682.9,8967.04,1991.57,3879.24,4016.67,5872.49,5398.48,2616.7,2.69892
26697.5,15021,9595,6393,4329.5,3555.5,2970,14222.9,16297.1,15156.7,13871.3,13227.5,11667.5,8982.42,1987.89,3874,4022.81,5868.7,5391.86,2614.74,2.70128
26697.5,15021,9595,6393,4329.5,3555.5,2970,14222.9,16297.1,15156.7,13871.3,13227.5,11667.5,8982.42,1984.46,3873.07,4023.79,5870.47,5387.93,2631.18,2.70128
26697.5,15021,9595,6393,4329.5,3555.5,2970,14222.9,16297.1,15156.7,13871.3,13227.5,11667.5,8982.42,1982.74,3873.24,4021.34,5873.05,5383.76,2645.42,2.70128
26697.5,15021,9595,6393,4329.5,3555.5,2970,14222.9,16297.1,15156.7,13871.3,13227.5,11667.5,8982.42,1975.37,3871.04,4024.77,5865.12,5382.28,2649.83,2.70128
26697.2,15024.5,9591.5,6393.35,4331.6,3556.55,2972.45,14222.9,16297.1,15156.7,13871.3,13227.5,11667.5,8982.42,1968.26,3869.05,4028.45,5855.76,5382.53,2649.59,2.70128
26697,15026,9590,6393.5,4332.5,3557,2973.5,14251.5,16253.2,15156.7,13840.6,13341.8,11674.1,8936.28,1966.54,3866.77,4029.19,5851.91,5379.34,2659.41,2.70092
26697,15026,9590,6393.5,4332.5,3557,2973.5,14251.5,16253.2,15156.7,13840.6,13341.8,11674.1,8936.28,1962.37,3864.68,4028.7,5845.46,5383.51,2677.57,2.70092
