 [16:0] ,[16:1],[16:2],[16:3],[16:4],[16:5],[16:6],[2:99],[2:102],[2:105],[2:108],[2:111],[2:114],[2:117],[11:1],[11:3],[11:5],[11:7],[11:9],[11:11],[0:81]
F1_GAP,F2_GAP,F3_GAP,F4_GAP,F5_GAP,F6_GAP,F7_GAP,F1_SUM_FORCE,F2_SUM_FORCE,F3_SUM_FORCE,F4_SUM_FORCE,F5_SUM_FORCE,F6_SUM_FORCE,F7_SUM_FORCE,F2_BD_FBK,F3_BD_FBK,F4_BD_FBK,F5_BD_FBK,F6_BD_FBK,F7_BD_FBK,Thickness(mm)
26698.5,15060.5,9588.5,6413.5,4340,3563.5,2996.5,14009.8,15958.7,15183.1,13695.6,13284.7,11559.8,8868.16,2045.57,4044.63,4002.68,5846.17,5432.6,2424.77,2.72358
26698.5,15060.5,9588.5,6413.5,4340,3563.5,2996.5,14009.8,15958.7,15183.1,13695.6,13284.7,11559.8,8868.16,2049.5,4038.17,4008.57,5845.31,5433.58,2424.77,2.72358
26697.7,15056.9,9590.5,6415.5,4337.2,3562.3,2996.5,14009.8,15958.7,15183.1,13695.6,13284.7,11559.8,8868.16,2048.02,4034.65,4005.14,5844.13,5429.16,2423.54,2.72358
26697.5,15056,9591,6416,4336.5,3562,2996.5,13976.8,16000.5,15213.9,13682.4,13253.9,11526.9,8839.6,2043.11,4029.61,4006.12,5851.06,5429.16,2417.16,2.72105
26697.5,15056,9591,6416,4336.5,3562,2996.5,13976.8,16000.5,15213.9,13682.4,13253.9,11526.9,8839.6,2038.21,4025.75,4002.19,5860.54,5434.07,2410.53,2.72105
26697.5,15056,9591,6416,4336.5,3562,2996.5,13976.8,16000.5,15213.9,13682.4,13253.9,11526.9,8839.6,2039.19,4020.47,4004.65,5865.12,5442.42,2409.8,2.72105
26697.5,15056,9591,6416,4336.5,3562,2996.5,13976.8,16000.5,15213.9,13682.4,13253.9,11526.9,8839.6,2038.21,4018.87,4003.17,5870.96,5441.43,2406.36,2.72105
26699.1,15052.8,9589.4,6414.4,4340.5,3561.2,2992.9,13976.8,16000.5,15213.9,13682.4,13253.9,11526.9,8839.6,2041.15,4017.33,3996.3,5882.14,5442.42,2391.39,2.72105
26699.5,15052,9589,6414,4341.5,3561,2992,14053.7,16057.6,15257.8,13713.1,13188,11498.3,8817.63,2038.7,4013.84,3991.39,5889.08,5435.05,2386.48,2.71
26699.5,15052,9589,6414,4341.5,3561,2992,14053.7,16057.6,15257.8,13713.1,13188,11498.3,8817.63,2042.62,4012.13,3992.87,5885.81,5433.58,2407.59,2.71
